header	date
hCoV-19/USA/NY-PRL-2021_0808_00C05/2021|EPI_ISL_3394379.1|2021-08-05	2021-08-05
hCoV-19/USA/NY-PRL-2021_0808_00A01/2021|EPI_ISL_3394360.1|2021-08-05	2021-08-05
hCoV-19/USA/NY-PRL-2021_0808_00J01/2021|EPI_ISL_3394263.1|2021-08-05	2021-08-05
hCoV-19/USA/NY-SUNYQBR-61210452402730/2021|EPI_ISL_9133692.1|2021-12-14	2021-12-14
hCoV-19/USA/NY-SUNYQBR-61210501016904/2021|EPI_ISL_9133926.1|2021-12-01	2021-12-01
hCoV-19/USA/NY-SUNYQBR-55210120503450/2021|EPI_ISL_9133518.1|2021-12-02	2021-12-02
hCoV-19/USA/NY-SUNYQBR-61210150506515/2021|EPI_ISL_9132112.1|2021-12-02	2021-12-02
hCoV-19/USA/MD-DHSS-B1135953/2021|EPI_ISL_9094855.1|2021-10-18	2021-10-18
hCoV-19/USA/MD-DHSS-B1135952/2021|EPI_ISL_9094854.1|2021-10-18	2021-10-18
hCoV-19/USA/DE-DHSS-B1151714/2021|EPI_ISL_9094617.1|2021-11-07	2021-11-07
hCoV-19/USA/DE-DHSS-B1157193/2021|EPI_ISL_9094539.1|2021-11-16	2021-11-16
hCoV-19/USA/DE-DHSS-B1157210/2021|EPI_ISL_9094494.1|2021-11-18	2021-11-18
hCoV-19/USA/MD-HP08099-PIDZLROZWR/2021|EPI_ISL_3373244.1|2021-07-27	2021-07-27
hCoV-19/USA/PA-MGEL-03103/2021|EPI_ISL_9048385.1|2021-12-02	2021-12-02
hCoV-19/USA/DE-DHSS-B1166505/2021|EPI_ISL_9093938.1|2021-12-06	2021-12-06
hCoV-19/USA/MD-HP08011-PIDTSXKFTH/2021|EPI_ISL_3373161.1|2021-07-31	2021-07-31
hCoV-19/USA/NY-UB-CHS-01440/2021|EPI_ISL_8923999.1|2021-12-23	2021-12-23
hCoV-19/USA/WV-WVU-WV126809/2021|EPI_ISL_7726930.1|2021-11-27	2021-11-27
hCoV-19/USA/DE-DHSS-B1148255/2021|EPI_ISL_7708156.1|2021-11-03	2021-11-03
hCoV-19/USA/DE-DHSS-B1151393/2021|EPI_ISL_7708352.1|2021-11-09	2021-11-09
hCoV-19/USA/DE-DHSS-B1156869/2021|EPI_ISL_7708032.1|2021-11-14	2021-11-14
hCoV-19/USA/DE-DHSS-B1148245/2021|EPI_ISL_7707819.1|2021-11-04	2021-11-04
hCoV-19/USA/PA-MGEL-02591/2021|EPI_ISL_5327541.1|2021-07-29	2021-07-29
hCoV-19/USA/DE-DHSS-B1156890/2021|EPI_ISL_7707806.1|2021-11-10	2021-11-10
hCoV-19/USA/NY-PRL-2021_1008_02B05/2021|EPI_ISL_5287401.1|2021-10-03	2021-10-03
hCoV-19/USA/NY-PRL-2021_1008_01E23/2021|EPI_ISL_5287138.1|2021-09-29	2021-09-29
hCoV-19/USA/NY-PRL-2021_1008_02C19/2021|EPI_ISL_5287555.1|2021-10-04	2021-10-04
hCoV-19/USA/NY-PRL-2021_1008_01B10/2021|EPI_ISL_5286735.1|2021-09-30	2021-09-30
hCoV-19/USA/NY-PRL-2021_1201_02C17/2021|EPI_ISL_7605183.1|2021-11-27	2021-11-27
hCoV-19/USA/NJ-PHEL-V21030708/2021|EPI_ISL_7605504.1|2021-11-25	2021-11-25
hCoV-19/USA/NJ-CDC-FG-133426/2021|EPI_ISL_5235039.1|2021-09-16	2021-09-16
hCoV-19/USA/PA-CDC-IBX510871628695/2021|EPI_ISL_5234316.1|2021-09-10	2021-09-10
hCoV-19/USA/NY-P24D4/2021|EPI_ISL_5199477.1|2021-09-03	2021-09-03
hCoV-19/USA/MD-IGS-062124100020A/2021|EPI_ISL_5194719.1|2021-08-29	2021-08-29
hCoV-19/USA/MD-HP20813-PIDYVCRBSA/2021|EPI_ISL_7496036.1|2021-11-21	2021-11-21
hCoV-19/USA/NY-IVY-ZZX9KYSN/2021|EPI_ISL_5149146.1|2021-09-10	2021-09-10
hCoV-19/USA/MD-IGS-52131306834A/2021|EPI_ISL_7404936.1|2021-11-09	2021-11-09
hCoV-19/USA/DE-DHSS-B1128901/2021|EPI_ISL_7307774.1|2021-09-28	2021-09-28
hCoV-19/USA/DE-DHSS-B1135440/2021|EPI_ISL_7307925.1|2021-10-13	2021-10-13
hCoV-19/USA/DE-DHSS-B1135450/2021|EPI_ISL_7307728.1|2021-10-15	2021-10-15
hCoV-19/USA/PA-LVG-2021-743/2021|EPI_ISL_12467926.1|2021-11-24	2021-11-24
