header	date
hCoV-19/USA/NY-UB-KSL-00348/2021|EPI_ISL_6326724.1|2021-08-12	2021-08-12
hCoV-19/USA/NY-NYCPHL-005794/2021|EPI_ISL_3904850.1|2021-08-02	2021-08-02
hCoV-19/USA/NY-NYGC-SJU9-AFNH902/2021|EPI_ISL_7747286.1|2021-10-01	2021-10-01
hCoV-19/USA/NY-PRL-2021_0917_01G16/2021|EPI_ISL_4514049.1|2021-09-11	2021-09-11
hCoV-19/USA/NY-Wadsworth-21082315-01/2021|EPI_ISL_3836119.1|2021-08-06	2021-08-06
hCoV-19/USA/NY-UB-KSL-00530/2021|EPI_ISL_6327554.1|2021-09-03	2021-09-03
hCoV-19/USA/NJ-PHEL-V21008019/2021|EPI_ISL_3807166.1|2021-08-04	2021-08-04
hCoV-19/USA/WV-WVU-WV121323/2021|EPI_ISL_4689865.1|2021-07-20	2021-07-20
hCoV-19/USA/NY-PRL-2021_0803_02C07/2021|EPI_ISL_3331995.1|2021-07-27	2021-07-27
hCoV-19/USA/PA-CDC-LC0051106/2021|EPI_ISL_1927603.1|2021-04-21	2021-04-21
hCoV-19/USA/MD-HP21926-PIDZMFGGNN/2021|EPI_ISL_8159903.1|2021-12-07	2021-12-07
hCoV-19/USA/MD-IGS-142132100233A/2021|EPI_ISL_8151965.1|2021-11-17	2021-11-17
hCoV-19/USA/NY-NYULH3524/2021|EPI_ISL_6073259.1|2021-08-27	2021-08-27
hCoV-19/USA/NY-I-702/2021|EPI_ISL_5999254.1|2021-07-22	2021-07-22
hCoV-19/USA/NY-I-701/2021|EPI_ISL_5999253.1|2021-07-22	2021-07-22
hCoV-19/USA/NY-I-695/2021|EPI_ISL_5999251.1|2021-07-20	2021-07-20
hCoV-19/USA/NY-PRL-2021_0822_01F23/2021|EPI_ISL_3777981.1|2021-08-17	2021-08-17
hCoV-19/USA/NY-URMC-21081310-1/2021|EPI_ISL_5946200.1|2021-08-08	2021-08-08
hCoV-19/USA/PA-CDC-QDX23571873/2021|EPI_ISL_1648208.1|2021-04-01	2021-04-01
hCoV-19/USA/NY-PRL-2021_1015_02G05/2021|EPI_ISL_5852191.1|2021-10-08	2021-10-08
hCoV-19/USA/NY-NYULH2757/2021|EPI_ISL_3723478.1|2021-08-03	2021-08-03
hCoV-19/USA/PA-CDC-LC0095170/2021|EPI_ISL_3112293.1|2021-07-03	2021-07-03
hCoV-19/Spain/CB-HUMV-602200204898/2022|EPI_ISL_11696925.1|2022-03-05	2022-03-05
hCoV-19/USA/PA-CDC-LC0095675/2021|EPI_ISL_3112451.1|2021-07-05	2021-07-05
hCoV-19/USA/PA-CDC-QDX26532150/2021|EPI_ISL_3113925.1|2021-07-02	2021-07-02
hCoV-19/USA/PA-Jefferson_20210621_11_S27/2021|EPI_ISL_3115527.1|2021-05-03	2021-05-03
hCoV-19/USA/DE-DHSS-B1109559/2021|EPI_ISL_3692709.2|2021-07-09	2021-07-09
hCoV-19/Slovenia/17-057060-CE/2022|EPI_ISL_11670294.1|2022-03-05	2022-03-05
hCoV-19/USA/NY-PRL-2021_1216_01B19/2021|EPI_ISL_8095113.1|2021-12-13	2021-12-13
hCoV-19/USA/WV-WVU-WV128200/2021|EPI_ISL_8091087.1|2021-12-13	2021-12-13
hCoV-19/USA/NY-PRL-2021_0816_00E01/2021|EPI_ISL_3568949.1|2021-08-10	2021-08-10
hCoV-19/Solomon_Islands/SOL063/2022|EPI_ISL_11629682.1|2022-03-05	2022-03-05
hCoV-19/Solomon_Islands/SOL061/2022|EPI_ISL_11629680.1|2022-03-05	2022-03-05
hCoV-19/Solomon_Islands/SOL060/2022|EPI_ISL_11629679.1|2022-03-05	2022-03-05
hCoV-19/USA/NY-NYCPHL-006631/2021|EPI_ISL_8020472.1|2021-09-01	2021-09-01
hCoV-19/USA/NY-UB-ECPHL-02133/2021|EPI_ISL_7985401.1|2021-12-01	2021-12-01
hCoV-19/USA/MD-IGS-052125700536A/2021|EPI_ISL_5641976.1|2021-09-14	2021-09-14
hCoV-19/USA/MD-IGS-122124800572A/2021|EPI_ISL_5639653.1|2021-09-05	2021-09-05
hCoV-19/USA/MD-IGS-012125104854A/2021|EPI_ISL_5639647.1|2021-09-08	2021-09-08
hCoV-19/USA/DE-DHSS-B1124544/2021|EPI_ISL_5622007.1|2021-08-18	2021-08-18
hCoV-19/USA/DE-DHSS-B1124501/2021|EPI_ISL_5621994.1|2021-08-20	2021-08-20
hCoV-19/USA/DE-DHSS-B1124099/2021|EPI_ISL_5621857.1|2021-07-22	2021-07-22
hCoV-19/USA/DE-DHSS-B1099952/2021|EPI_ISL_5621638.1|2021-08-24	2021-08-24
hCoV-19/USA/DE-DHSS-B1099917/2021|EPI_ISL_5621611.1|2021-08-22	2021-08-22
hCoV-19/USA/DE-DHSS-B1099907/2021|EPI_ISL_5621603.1|2021-08-22	2021-08-22
hCoV-19/USA/DE-Curative-082650/2021|EPI_ISL_5573565.1|2021-10-05	2021-10-05
