FROM,TO,BAYES_FACTOR,POSTERIOR PROBABILITY
Indiana,Blair,55.39699353401922,0.9628477468669452
Blair,Elk,5.175099243107388,0.707692649542263
Cambria,Clearfield,40.091494946667886,0.9493822771309216
Cambria,Human,34.136118581715564,0.9410719047195804
