FROM,TO,BAYES_FACTOR,POSTERIOR PROBABILITY
Adams,Perry,13.373223766862138,0.7634554500226142
Cumberland,Dauphin,12.331587800628425,0.7484999246193276
Dauphin,Potter,18.22646023375369,0.8147746117895371
Northumberland,Union,35.56138729272533,0.8956429971355344
Potter,York,9.821818672296862,0.7033016734509272
